urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom,carpark,agentCompanyPic
https://www.realestate.com.au/property-townhouse-vic-north+melbourne-423713974,townhouse,https://i3.au.reastatic.net/640x480/47cf87e0c34da9bb6b8b6c629f1b8e24caeecea8b74c4190f2cac89ba0747b8b/main.jpg,https://i4.au.reastatic.net/120x160/421560718d369aa74097b2d01b61016fcb2b8988ac33f06155d1bd0772845ffb/main.jpg,Suzie Inglis,hockingstuart - MELBOURNE,950,"113 Abbotsford Street, North Melbourne, Vic 3051",3,2,2,https://i2.au.reastatic.net/agencylogo/YLAVUU/12/20170523103243.gif
https://www.realestate.com.au/property-apartment-vic-southbank-423713842,apartment,https://i2.au.reastatic.net/640x480/5a027415d56b2ae16f99c4603474faee58fadc2d969a9f4964f1e9bb3863e988/main.jpg,https://i3.au.reastatic.net/120x160/20edb6c7a508e4620bd70bbba12535ec045c224bea1a4252609b014785452ecd/main.jpg,Trish Destito,Melcorp Real Estate - Melbourne,760,"3601/35 Queensbridge Street, Southbank, Vic 3006",2,2,1,https://i1.au.reastatic.net/agencylogo/XIQTUU/12/20171129114331.gif
https://www.realestate.com.au/property-apartment-vic-docklands-420741210,apartment,https://i1.au.reastatic.net/640x480/05ed7c8072a984868f59fc668ca7c44c016cedd7cf06350f8c06891004e187a4/main.jpg,https://i2.au.reastatic.net/120x160/dc8176700c9aa8e392c9e40c3079c500dd5951c0fb44ace7a013acf759c24b8c/main.jpg,Lina D'Ambrosio,City Residential Real Estate - DOCKLANDS,900,"216/60 Siddeley Street, Docklands, Vic 3008",3,2,1,https://i4.au.reastatic.net/agencylogo/DCALCT/12/20180219132227.gif
https://www.realestate.com.au/property-apartment-vic-south+yarra-419723962,apartment,https://i4.au.reastatic.net/640x480/2ae13a14e4497032a84a6a70d3e299fb1769bcd6212a8b33af3723a0c088116d/main.jpg,https://i3.au.reastatic.net/120x160/3723ce0c99c7d01f2bbd00f7f158c8743fcea5b05f3a42c2eb0306686c1dc1ba/main.jpg,Jason Tan,hockingstuart - South Yarra ,,"605/50 Claremont Street, South Yarra, Vic 3141",2,2,1,https://i3.au.reastatic.net/agencylogo/XHSSOU/12/20171109160845.gif
https://www.realestate.com.au/property-house-vic-fitzroy+north-423713294,house,https://i1.au.reastatic.net/640x480/c286d5a5db26f7f311b736d5d4f92554c84f1e2dfb043f05c9bed57ab5842b77/main.jpg,https://i2.au.reastatic.net/120x160/c78204f769906982c2b578ea5bbbafe8754dca9c852758749b3b9e3e9370db7e/main.jpg,Caitlin Sheehan,Harrington Earl - Clifton Hill,950,"112 Michael Street, Fitzroy North, Vic 3068",3,2,,https://i4.au.reastatic.net/agencylogo/HBICLI/12/20160622154235.gif
https://www.realestate.com.au/property-unit-vic-prahran-422408274,unit,https://i4.au.reastatic.net/640x480/7cbcf244f10ecd817bcea0ca464c6d549dbef9df386d3923f03bab6e7c6f655a/main.jpg,https://i1.au.reastatic.net/120x160/a87b492e524984b89fd424e5e6af5b0a5fa0b44f90dc38dcc77b7daa0288ab4d/main.jpg,Ben Williams,My Rental - Network,450,"6/2 King Street, Prahran, Vic 3181",1,1,,https://i3.au.reastatic.net/agencylogo/LMJLSA/12/20170510182400.gif
https://www.realestate.com.au/property-apartment-vic-south+yarra-423713178,apartment,https://i3.au.reastatic.net/640x480/0cce8355c497f5d707698913de8a0b19a892c2d4c16a32b3aa8064e0cdcf592b/main.jpg,https://i4.au.reastatic.net/120x160/abdbbc27ad7314877304232745b332db0b39264c005ff79f45958d247ea994ce/main.jpg,Brianna Movis,Biggin & Scott - Richmond,520,"6/12 Cromwell Road, South Yarra, Vic 3141",2,1,,https://i2.au.reastatic.net/agencylogo/XBSRIC/12/20180128211600.gif
https://www.realestate.com.au/property-house-vic-south+melbourne-423604358,house,https://i2.au.reastatic.net/640x480/ba1ba10df906d0e0306939aae0eb7a41bf55d45c97b0cf2767e5b3415c99f94d/main.jpg,https://i2.au.reastatic.net/120x160/cd27bac3b6d93df7c9e0dfe271547642df0f2249eec26e673b43bb9bfe2fef26/main.jpg,Angie Vakrinos,Home AU Real Estate Melbourne,1600,"257 Moray Street, South Melbourne, Vic 3205",3,3,3,https://i1.au.reastatic.net/agencylogo/FMCAKG/12/20170608111000.gif
https://www.realestate.com.au/property-apartment-vic-carlton-423712490,apartment,https://i3.au.reastatic.net/640x480/38ee5198b917f366b92212b5e911eb4a8c775eca50e669ddeea641cf388668ff/main.jpg,https://i3.au.reastatic.net/120x160/6a7efe68ba6f19ad0ae86fa66e35adf92d7b1c7189560d9f1044b0ed96783a80/main.jpg,David Chung,Jellis Craig Inner North Property Management -     ,550,"36/117-121 Rathdowne Street, Carlton, Vic 3053",2,1,1,https://i1.au.reastatic.net/agencylogo/XHSBRU/12/20160928130651.gif
https://www.realestate.com.au/property-apartment-vic-southbank-422827306,apartment,https://i3.au.reastatic.net/640x480/c1850888804af0aff8913136d34951bad43f67b0f80760dd43d366f45773ddc8/main.jpg,https://i4.au.reastatic.net/120x160/e32a14852a7cbbbc027c9ef3308510c4718f6e658af3bc032592576bdf49b9e3/main.jpg,Victor Hua,Dynamic Residential - Rental,550,"1301/33 Coventry Street, Southbank, Vic 3006",2,2,,https://i2.au.reastatic.net/agencylogo/WXFYYB/12/20171212093120.gif
