urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom
https://www.domain.com.au/39-lonsdale-street-melbourne-vic-3000-12116848,Apartment,https://rimh2.domainstatic.com.au/kWPcVC6kklMtgcwqhvxdnGqHpxU=/660x440/filters:format(jpeg):quality(80)/12116848_3_pi_180413_013159-w800-h533,https://rimh2.domainstatic.com.au/50ruxkl82ZBcVbvhoEkLtVRGAQY=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/26942/contact_1281847.JPG?mod=180508-111515,Helen  Li,Royaland Real Estate,530,"39  Lonsdale Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/119-88-southbank-blv-melbourne-vic-3000-12122480,House,https://rimh2.domainstatic.com.au/tKw3fd7VhMftPHhb646qc6aE1iE=/660x440/filters:format(jpeg):quality(80)/12122480_1_0_180416_122346-w640-h480,null,Nina Romano,Raine \u0026 Horne Glenroy,520,"119/88 SOUTHBANK BLV,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/unit-515-112-a-beckett-st-melbourne-vic-3000-12132299,Apartment,https://rimh2.domainstatic.com.au/Ymzzyw0YL5HYK-eWs9x42Qcuex8=/660x440/filters:format(jpeg):quality(80)/12132299_1_pi_180420_124649-w792-h594,null,Tarryn Lee Guld,Platinum Real Estate,550,"Unit 515/112 A'beckett St,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/404-241-flinders-lane-melbourne-vic-3000-12152574,Apartment,https://rimh2.domainstatic.com.au/gI0ic-NsPfUTDymW8cKSrGygvJM=/660x440/filters:format(jpeg):quality(80)/12152574_1_1_180501_120444-w1024-h682,https://rimh2.domainstatic.com.au/5QJX1Wf1Sxr-VFpIUXdH4ubrm08=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/353/contact_844114.JPG?mod=170302-051027,Sam Vella,Melbourne Property Solutions,550,"404/241 Flinders Lane,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/1102-263-franklin-street-melbourne-vic-3000-12160752,Apartment,https://rimh2.domainstatic.com.au/rbEJ4G6gXVBewcpib8lKSJHOqsA=/660x440/filters:format(jpeg):quality(80)/2014167074_1_pi_180209_125043-w5760-h3840,null,Peter Zurzolo,Re Blue Coburg,550,"1102/263 Franklin Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/201-243-franklin-street-melbourne-vic-3000-12160756,Apartment,https://rimh2.domainstatic.com.au/P6GgZQRv8njdSYlmQUFPEGK5GlY=/660x440/filters:format(jpeg):quality(80)/2014341296_1_pi_180427_120921-w640-h480,null,Peter Zurzolo,Re Blue Coburg,600,"201/243 Franklin Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/611-243-franklin-street-melbourne-vic-3000-12160776,Apartment,https://rimh2.domainstatic.com.au/RuAq24RwwQBwchizvjfwXmqxHo0=/660x440/filters:format(jpeg):quality(80)/2014167471_1_pi_180209_022418-w800-h600,null,Peter Zurzolo,Re Blue Coburg,600,"611/243 Franklin Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/1610-31-a-beckett-street-melbourne-vic-3000-12166015,Apartment,https://rimh2.domainstatic.com.au/A7cV-CFIz12sLCgp8x1tbyxjKMY=/660x440/filters:format(jpeg):quality(80)/w940-h800-10464731_1_pi_160331_123944,null,Annette Kim,Selling Melbourne Real Estate ,570,"1610/31 A'Beckett Street,MELBOURNE,VIC,3000",2,1
https://www.domain.com.au/110b-452-elizabeth-street-melbourne-vic-3000-12166467,Apartment,https://rimh2.domainstatic.com.au/TAnTiNGki5keSxOXthPi-bacVfw=/660x440/filters:format(jpeg):quality(80)/12166467_1_1_180507_033116-w800-h534,null,,Ironfish Real Estate,460,"110B/452 Elizabeth Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/m101-285-latrobe-street-melbourne-vic-3000-12171609,Apartment,https://rimh2.domainstatic.com.au/iCzfQMBO_-MAZeGjNOPYRpJAoDo=/660x440/filters:format(jpeg):quality(80)/12171609_1_1_180509_123902-w1600-h1068,https://rimh2.domainstatic.com.au/wGLBB61QKmKfkOnE8wKBrhASTpQ=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/20795/contact_1474048.jpeg?mod=180517-143114,Nicholas Johan,Melbourne Real Estate,580,"M101/285 LaTrobe Street,MELBOURNE,VIC,3000",1,1
